13,Watukarung Kaderi's Home,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62853303872920,"Rp400.000,00","Rp400.000,00",,,,"ACKamar mandi pribadiTV Layar datarPeredam suaraTeras
Peralatan mandi gratis Shower Toilet Handuk Linen Lantai keramik/marmer TV kabel Lemari pakaian Rak baju Tisu toilet Penyanitasi tangan",14:00,12:00,,Ya,"https://www.google.com/maps/place/Watukarung+Kaderi's+Home/@-8.2362224,110.9734018,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bdd695af53ae1:0x950c2d700da3697a!5m2!4m1!1i2!8m2!3d-8.2362224!4d110.9734018!16s%2Fg%2F11km0glw35?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGv6U45Hy_dXeSKxCV_Amje0aoJxF1wQ3JUGwwq7rzrrADKCB1AI3u4VBr7e-07bDWH1BFWLOv4A35ZyM0uxsaeyETCldqY7xR2R7vvfYK9rfSN7Qxegw7q3FOjknV9JXshvLz=w408-h481-k-no,TRUE,TRUE,,YA,YA,YA,TIDAK,TIDAK,YA,YA,TIDAK,Belum Lengkap,
14,Villa Suaka by Sackstone,Villa,,,"Alamat: RT.02/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Pasir Putih Watukarung,+62821431444410,"Rp1.169.100,00","Rp1.169.100,00",,,,"Dapur kecil pribadi, Kolam renang pribadi, Balkon Pemandangan taman, AC, Bathtub spa, TV Layar datar,Teras, Sauna, Minibar, Wi-Fi gratis",,,,Ya,"https://www.google.com/maps/place/Villa+Suaka+by+Sackstone/@-8.2354375,110.9746875,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd0044baee77:0xb9ee862b2e23d422!8m2!3d-8.2354375!4d110.9746875!16s%2Fg%2F11wfq88_bw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGe0psRtuOrQPZeaDgZzKwQaW3E82SWW8aSyDMEGFAbg4j3pkUsTIyah-Voka8pbWmlxoAtUegtsAWz-H7gYP4y2w0LbzyP-tr3jQQEnA6-uClcPcvHc89X0k_8tXIhsZgXL4CVBB6J8YEA=w408-h544-k-no,TRUE,TRUE, ,TIDAK,YA,TIDAK,TIDAK,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
15,"Watukarung Prapto Homestay, Surf Accommodation",Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Pasir Putih Watukarung,+62853267570120,"Rp300.000,00","Rp300.000,00",,,,,13:30,12:00,,Ya,"https://www.google.com/maps/place/Watukarung+Prapto+Homestay,+Surf+Accommodation/data=!4m10!3m9!1s0x2e7bddbf876cc0a5:0x22073951cb7be820!5m2!4m1!1i2!8m2!3d-8.236316!4d110.9744329!16s%2Fg%2F11cm9zxd7y!19sChIJpcBsh7_dey4RIOh7y1E5ByI?authuser=0&hl=id&rclk=1",https://m.facebook.com/Watukarung-Prapto-Homestay-Surf-Accommodation-649548091829494/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFR400LgcSR3FEzeRbdougeff24c1l7fcVoncckYfikKL7u5CJJPHrRjceXLREFVuDqo_656aFJ0CrE_F-udnVLM9Ooy6qxX8NxP126Y2OHzvf_mhGuS4Yx2hp5fjTcKtJ2Px25=w408-h408-k-no,TRUE,TRUE,,YA,YA,YA,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
16,The Chillhihill sea view,Homestay,,,"Alamat: Jalan Kerapu Milak, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62812510619580,"Rp515.568,00","Rp515.568,00",,,,,,,,Ya,"https://www.google.com/maps/place/The+Chillhihill+sea+view/@-8.2358115,110.9705935,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bddbef13bbbd3:0xd8065c81d5b76628!5m2!4m1!1i2!8m2!3d-8.2358115!4d110.9705935!16s%2Fg%2F11cmszp7gh?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",http://homestaythechillhill.blogspot.co.id/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ8RYpLYxRht56iLG79qyrpGHJrIuvgzGFptT55DRB8xySVsnRvD4cIDMDzQIC51Fb96BNpaCkB06qCyOTog-p8V80j4FGbr8M8XcTNSJ9xYDYuSC7IkxEyo3XJngaz6ACQft4XtgKCRLc=w408-h306-k-no,TRUE,TRUE,,YA,YA,YA,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
17,MARYLAND COTTAGE WATUKARUNG,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62896677660590,"Rp1.755.000,00","Rp2.155.000,00",,,,"Dapur, AC, TV, Teras, Toilet dalam, Wifi",14:00,12:00,,Ya,https://www.google.com/maps/place/MARYLAND+COTTAGE+WATUKARUNG/data=!4m10!3m9!1s0x2e7bdd4a40724941:0x2a55363508d0ad00!5m2!4m1!1i2!8m2!3d-8.235941!4d110.9744426!16s%2Fg%2F11yv43q6pv!19sChIJQUlyQErdey4RAK3QCDU2VSo?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuwcqGp7aRB3IrhUThrjT5cjtOpDqlvlXfR3w03wScdZtnipHx-1_tU4vjIQVcPGCD3i8y82DUPpxlzA2CDqaP3xBPwRqUz1ENyNnTzsMEbmnHq19_qcfON1p3KAEQ0IYSa53A345kzVIh=w408-h306-k-no,TRUE,TRUE,,YA,YA,YA,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
18,Bintang Homestay Watukarung,Homestay,,,"Alamat: Jalan Dusun, RT.02/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62812353594640,"Rp258.724,00","Rp258.724,00",,,,"Shower, Wifi, Tv, Parkir",13:00,11:00,,Ya,https://www.google.com/maps/place/Bintang+Homestay+Watukarung/data=!4m10!3m9!1s0x2e7bddbf867b05f7:0x9df2ed136347df0b!5m2!4m1!1i2!8m2!3d-8.2364559!4d110.9741545!16s%2Fg%2F11fxf56vhr!19sChIJ9wV7hr_dey4RC99HYxPt8p0?authuser=0&hl=id&rclk=1,https://www.agoda.com/id-id/bintang-homestay-watukarung/hotel/watukarung-id.html,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEmrCEhroMNYkKR8Yug3uMNiknqJwb0FeATozuIaLh9ppxK9KJK9epF4APLYnDQy2uukZktAtRwQQFsSyaR15Sq8hpskEa3m867A8OHqu3pih4GDlj1swq2RcmPuiSpmzrt_UYybiPQJFWl7kwrJwCcMWk41WPzKFbwYWo6xxZTfUueKm32K0F1=w408-h306-k-no,TRUE,TRUE,,YA,YA,YA,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
19,IstanaOmbak Eco Resort,Villa,,,"Alamat: Jl. Kerapu No.151, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62823247745450,"Rp3.582.567,00","Rp2.940.519,00",,16/07/2026,,"Wifi, AC, parkir gratis, kolam renang, restoran, free breakfast",14.00-23.00,07.00-11.00,https://www.instagram.com/istanaombak_eco_resort,Ya,https://www.google.com/maps/place/IstanaOmbak+Eco+Resort/data=!4m10!3m9!1s0x2e7bddbf93481b69:0xdc362e78602a8837!5m2!4m1!1i2!8m2!3d-8.2371179!4d110.9735449!16s%2Fg%2F11b6sr2lc4!19sChIJaRtIk7_dey4RN4gqYHguNtw?authuser=0&hl=id&rclk=1,https://trv.lk/ed49ea05,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfVqDoCQzipRollt8T7fVbqY41TEVU147rwkXKDy51IqMt3Islq0L6Ixa4U6EDKT1hMYHY5CN3GJ6NmE82oICppy3-a6Ymgp145DdizIcFJHFP-FKZjhLuMqJAEOAFxKEPagw=w397-h298-k-no,TRUE,TRUE,,YA,YA,YA,YA,YA,YA,YA,TIDAK,Lengkap,
20,Summerforest Watukarung,Villa,,,"Alamat: Dusun Gumulharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62852800100870,"Rp1.170.000,00","Rp1.169.000,00",,16/07/2026,,"Air conditioning
Balcony/terrace
Bathrobes
Bathtub
Closet
Clothes rack
Electric kettle
Hair dryer
Linens
Private bathroom
Refrigerator
Shower
Slippers
Streaming service like Netflix
Toiletries
Towels
Trash cans
TV [flat screen]",14.00-22.00,07.00-12.00,https://share.google/RzQryVglJxWLCoW3z,Ya,https://www.google.com/maps/place/Summerforest+Watukarung/data=!4m10!3m9!1s0x2e7bdd9017c40931:0x372a086487942d91!5m2!4m1!1i2!8m2!3d-8.2342099!4d110.9737022!16s%2Fg%2F11y5dszdxq!19sChIJMQnEF5Ddey4RkS2Uh2QIKjc?authuser=0&hl=id&rclk=1,https://share.google/bJjAWzEQpiNLW5OBY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZhqABZK3LfWRN1-MhtMw9Wt4WLDaT0mg5irtSMShrqjSdduvjU6P34CPS44b9u_BoGW4OIZ6a-3Y65jLSpQN9GDcc63meLyUgWRrdsIgpF_egVTQDlxAf6UpFKbXDrDZKCowdX1gVYSsO=w408-h544-k-no,TRUE,TRUE,,YA,YA,YA,YA,YA,YA,YA,TIDAK,Belum Lengkap,
21,Oma Watu Inn Watukarung Pacitan,Homestay,,,"Alamat: Unnamed Road, Ketro, Watukarung, Pringkuku, Pacitan Regency, East Java 63552, Indonesia",Pasir Putih Watukarung,+62812664251360,"Rp495.971,00","Rp506.480,00",,16/07/2026,,"Private bathroom
Shower
Toiletries
Towels
Free bottled water
Free Wifi
Free parking
Airport transfer
Air Conditioning",14.00-00.00,11.00-12.00,https://share.google/gEFaAQJYO8UiwxiNd,Ya,https://www.google.com/maps/place/Oma+Watu+Inn+Watukarung+Pacitan/data=!4m10!3m9!1s0x2e7bdd810ca61463:0x2450417caad23474!5m2!4m1!1i2!8m2!3d-8.2352169!4d110.9735034!16s%2Fg%2F11nmhtbhd8!19sChIJYxSmDIHdey4RdDTSqnxBUCQ?authuser=0&hl=id&rclk=1,https://instagram.com/destinasiwatukarungpacitan?igshid=OGQ5ZDc2ODk2ZA==,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJSsn70LIe4S-hqUimStt7_lf32tDewhvvhBULcnWkQHsja-naIb0Ic9FCRdMmVuFJGc21nSAxo3uXgq3QGjKn41UpVLZeYPhYgcLd6JJQtoQYLc79bZvxDKzIGzt0Rl7qS7EVAA=w32-h32-p-k-no,TRUE,TRUE,,YA,YA,TIDAK,TIDAK,TIDAK,YA,YA,TIDAK,Belum Lengkap,
22,Desa Limasan Resort,Villa,,,"Alamat: Ketro, RT.01/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62813323164590,"Rp1.055.000,00","Rp1.300.000,00","Rp2.200.000,00",16/07/2026,,"Kolam Renang 
WiFi 
AC 
Antar Jemput Bandara 
Resepsionis 24 Jam 
Restoran 
Fasilitas Anak 
Pemandangan Laut 
Ruang Tamu 
Parkir Gratis 
Pembuat Kopi & Teh 
Kulkas",14.00-23.00,12.00',https://share.google/ikuHw2RBejtRvMN7T,Ya,https://www.google.com/maps/place/Desa+Limasan+Resort/data=!4m10!3m9!1s0x2e7bded000000001:0x1022b67bc980c5de!5m2!4m1!1i2!8m2!3d-8.2368092!4d110.9753043!16s%2Fg%2F11b6dpb0tm!19sChIJAQAAANDeey4R3sWAyXu2IhA?authuser=0&hl=id&rclk=1,https://share.google/nPaKaRMy1EwOPZoEE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhYbUrFq_XQubH5v5HT0mFI3836fPKF7ok2Iw0dRDJdCMaFhbHAqhv9PP6P-7q8qHOaFhigE2mQrmLHIiRXt7UByfWE2oQ_0mfZh2K68QdCTVyU7l_lpCjMdRJr3cIsVxFy2jd=w408-h271-k-no,TRUE,TRUE,,TIDAK,YA,YA,YA,YA,YA,YA,TIDAK,Belum Lengkap,
23,watukarung villa arrys,Homestay,,,"Alamat: QXGJ+W5G, gumul harjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,,,,,,,,,,,"https://www.google.com/maps/place/watukarung+villa+arrys/@-8.2226811,110.9804684,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd0030ce9c81:0xd6c887c62d3e83ec!8m2!3d-8.2226811!4d110.9804684!16s%2Fg%2F11x0n8ylvk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGe0psRtuOrQPZeaDgZzKwQaW3E82SWW8aSyDMEGFAbg4j3pkUsTIyah-Voka8pbWmlxoAtUegtsAWz-H7gYP4y2w0LbzyP-tr3jQQEnA6-uClcPcvHc89X0k_8tXIhsZgXL4CVBB6J8YEA=w156-h114-p-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
24,Watukarung Ricky Homestay,Homestay,,,"Alamat: Jalan Dusun, RT.02/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,6285257002902,,,,,,,,,,,"https://www.google.com/maps/place/Watukarung+Ricky+Homestay/@-8.2365825,110.9740323,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bddbf8f603727:0xc467b131c5298c3e!5m2!4m1!1i2!8m2!3d-8.2365825!4d110.9740323!16s%2Fg%2F11c3yw1c_8?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYiGx6VIdH8VQVdZv9uCZg36IlSL9U7KVqb7FvmS5tLKQ8fkxB0zO2oJqllx32x0iFHVc4I3qMtJ_5ebcusQkPxJL01hB702sx-HEGgu15m4_2KUS23SVsV0m_eBeL3epqnno=w408-h306-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
25,BATU PUTIH HOMESTAY,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,6282335488728,  ,,,,,,,,,,https://www.google.com/maps/place/BATU+PUTIH+HOMESTAY/data=!4m7!3m6!1s0x2e7bddda84d6c5b7:0x27b5a62ea07e7a4c!8m2!3d-8.2361605!4d110.9726119!16s%2Fg%2F11h2fmz0pv!19sChIJt8XWhNrdey4RTHp-oC6mtSc?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFC-PlUg1ciOuWUkC5E1QMHqGKF9UNta1HO0rZ_-lWyUVIMM8sXbTENTZj5MlNY2DWanKl8LPzS1wFiqeLyp3aw7rhFdBOsUHvjWDNRRGbldJi0ioG_BSAz97Gs4ZZ9Zwa1J4nA=w426-h240-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
26,Chez Laelik2,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Pasir Putih Watukarung,6283861589800,"Rp306.000,00","Rp306.000,00",,26/07/2026,,"Parking. Air conditioning, Private bathroom, Free Wifi, View, Pet friendly, Family rooms, Flat-screen TV, Free parking, Shower",12:00,12:00,,Ya,https://www.google.com/maps/place/Chez+Laelik2+-+Family+Room/data=!4m11!3m10!1s0x2e7bddbee4dbda11:0x6996da1533f1ff7b!5m2!4m1!1i2!8m2!3d-8.2354002!4d110.970993!16s%2Fg%2F11z4sktd9y!17BQ0FF!19sChIJEdrb5L7dey4Re__xMxXalmk?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEcvAUkF7AVx7LxSrANn5By_Rzjk3ef0_YX5YF8BjnybfbkhSkQr4-bOKR15rRmnLZ4VLCmXPADgWjIu8pDhgoo2yC7jdxjUImFU8Ni1DQCs2jjaSwGHgNOWl-Z_O_4NoVh2kX6lOoDtQGlAQ_RTKnUruh-glxek9dxVQ25Cn7XlFLHc-7gy-g=w408-h305-k-no,FALSE,FALSE,,TIDAK,YA,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
27,Arrys Watukarung Surfcamp,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Pasir Putih Watukarung,"wa.me/628216737717 
wa.me/6282233395583 ","Rp400.000,00",,,15/07/2026,,"2 kolam renang, 
Kamar bebas rokok, 
Antar-jemput bandara, 
Tepi pantai, 
WiFi gratis bagus (20 Mbps), 
Layanan kamar, 
Parkir gratis, 
Bar, 
Area pantai pribadi, 
Sarapan,
Parkir pribadi gratis, ",14:00,12:00,"https://www.instagram.com/arryssurfcamp/#
https://www.tiktok.com/@arrys.surf.camp",Ya,"https://www.google.com/maps/place/Arrys+Watukarung+Surfcamp+-+Large+Twin+Room/@-8.2372799,110.9742508,17z/data=!3m1!4b1!4m10!3m9!1s0x2e7bddbff4c162cb:0xb84c8cbe02a71096!5m2!4m1!1i2!8m2!3d-8.2372799!4d110.9742508!16s%2Fg%2F11z5cgghvw!17BQ0FF?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",https://br.bluepillow.com/search/5a85003d7c00cb0e042be52f?dest=bkng&cat=House&lat=-8.23728&lng=110.97425&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGNN97TdiCLlVDGlI6FlLkJAO-hrnr0U8Z58qfdgjlwGDciVVy857zZogzgTDKkk-pNDVR5CIXSi65AhBnfQklPnMjgCRzLu3oKG_GbY2Bj4NekluN1mUCXTHSMU1pc1PjRogdXbL9tyEAfXIuFBd_Y479p2lUrZqXIGOCQrEI1WcQru6g_PdpM=w408-h272-k-no,FALSE,FALSE,,TIDAK,YA,YA,TIDAK,TIDAK,YA,TIDAK,TIDAK,Lengkap,
28,MIN Guest House Watukarung,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Pasir Putih Watukarung,wa.me/6282216404657,"Rp500.000,00",,,15/07/2026,,"AC, Parkir, WIFI, Sarapan",13:00,12:00,"https://www.instagram.com/min.guesthouse/?hl=en  
https://www.youtube.com/@pacekece2636 ",Ya,"https://www.google.com/maps/place/MIN+Guest+House+Watukarung+-+Double+Room/@-8.2356901,110.9722977,17z/data=!3m1!4b1!4m10!3m9!1s0x2e7bddbf0f538d3b:0x43f78b76a833e834!5m2!4m1!1i2!8m2!3d-8.2356901!4d110.9722977!16s%2Fg%2F11z5c5rstr!17BQ0FF?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",https://br.bluepillow.com/search/6398e37fc551970d3c73e629?dest=bkng&cat=House&lat=-8.23569&lng=110.9723&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHKo2IE6YBQRmw4jfjL0K7CZJyQDrM0kYuLSfvPulivy9ZzkjO1fVPgRC9EaO0T2CpDdiHEYMFpGXYnhS1cOrIV1WjmRQDZkUr5nylWz3Kk3bHxbY_dsxQO74pCnse2tQje5htG1b-e9eFFfR-yeEbdGpVehols2g8wom7hkosJwcERCj369jsB=w427-h240-k-no,FALSE,FALSE,,YA,TIDAK,YA,YA,TIDAK,TIDAK,TIDAK,TIDAK,Lengkap,
29,Harry's Ocean House Watukarung Homestay,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Pasir Putih Watukarung,wa.me/6281383785525 ,"Rp200.000,00",,,15/07/2026,,"Antar-jemput bandara,
Kamar bebas rokok,
WiFi gratis,
Parkir gratis,
Kamar keluarga,
Sarapan",14:00,12:00,https://www.instagram.com/harryswatukarung/,Ya,https://www.google.com/maps/place/Harry%27s+Ocean+House+Watukarung+Homestay+-+Standard+Twin+Room/data=!4m11!3m10!1s0x2e7bddbfa3d41c85:0xe5f13eb2fd24770f!5m2!4m1!1i2!8m2!3d-8.2363396!4d110.9728089!16s%2Fg%2F11n9cb5l72!17BQ0FF!19sChIJhRzUo7_dey4RD3ck_bI-8eU?authuser=0&hl=id&rclk=1,https://br.bluepillow.com/search/639886c5c551970d3c71e7b6/237170402?dest=bkng&cat=House&lat=-8.23634&lng=110.97281&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG2PX5Ocb2b4S8FPDf7vxlkM5Nq4WN1ldSyLf8lTNq6ShXwg1v9-27Ha3_4w8V33OET8dFr4aMIAsgBXsnAP-PVozfAkcX5ZOMXByEeq7FYpwPAeDAM9wFDTbHTbzPEPAqm4QOpTpLS_0qfd177TzQ1lnMcNMDayjSYbE-5jjdLPIMS3dfchzt42Q=w408-h272-k-no,FALSE,FALSE,,YA,YA,YA,YA,TIDAK,TIDAK,TIDAK,TIDAK,Lengkap,
30,watukarung arrys surfcamp,Homestay,,,"Alamat: Jalan Dusun Ketro, RT.1/RW.6, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62821437990750,,,,,,,,,,,https://www.google.com/maps/place/watukarung+arrys+surfcamp/data=!4m10!3m9!1s0x2e7bddc077b7ed69:0x2cc92fdd07509ef8!5m2!4m1!1i2!8m2!3d-8.2367717!4d110.9746106!16s%2Fg%2F11cs46gzlk!19sChIJae23d8Ddey4R-J5QB90vySw?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeLzVFcStOia4LBtNvL0VkTopbwUXedQOTsmrgZJaDlojQCn9fzV2ehrfVRYKmoSbD-6v4eihC_XRe0Pje8T2KFxCRiDVNu9PF51qIQXaKHw4vYIf9Ke_F1Mym8dI5X4bVCWz8=w408-h544-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
31,Terra Clementia,Homestay,,,"Alamat: RT.02/RW.07, Dusun Gumul Harjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62822723111740,,,,,,,,,,,https://www.google.com/maps/place/Terra+Clementia/data=!4m10!3m9!1s0x2e7bdda04cac634f:0xf23e97977789b1f!5m2!4m1!1i2!8m2!3d-8.2339698!4d110.9702594!16s%2Fg%2F11wwrtx091!19sChIJT2OsTKDdey4RH5t4d3npIw8?authuser=0&hl=id&rclk=1,https://www.terraclementia.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEydjpGjuFxsb71PVySDbCSx1QnTjP_kLjqL9j7z2ogwYr721jPE-lgHrbkp_mk3zwdQMsxYjFyXiFHlJow7X3OrfCFLgKFXM81EZvVHmfyA0_fCgavNNaMjR9VGg_25RIkkq06LV3ZF0g=w408-h272-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
32,Summerfield Homestay and Cafe,Homestay,,,"Alamat: Gumulharjo, Watukarung, Pringkuku, Pacitan Regency, East Java 63552, Indonesia",Pasir Putih Watukarung,+62852116622790,"Rp550.000,00","Rp550.000,00",,17/07/2026,,"AC, breakfast dinner lunch restaurant, parkir, wifi, 24jam front desk, coffee shop. In room: cable TV, desk, hairdryer, shower, bathrobe ",14:00,12:00,https://www.instagram.com/summerfieldbeach,Ya,"https://www.google.com/maps/place/Summerfield+Homestay+and+Cafe/@-8.2349054,110.9726045,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bddb4c559615b:0x92a65fbacd988772!5m2!4m1!1i2!8m2!3d-8.2349054!4d110.9726045!16s%2Fg%2F11n7qbm1_l?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",https://www.summerfieldwatukarung.com/ ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyzimhU6Ul9HJA_c5ZNyaYCXrZxwDpsk9LAXZx5Q9TmgvadmpEk_NdQ1dZnTMeq3ahKEyYqw_qiQbFuF7tkZrRMFedHG3Q7EOrgofepu54FNSr4fFoS1nOqfUBc5cAwiTOmcoq=w408-h408-k-no ,TRUE,TRUE,https://trv.lk/5653e491,TIDAK,YA,YA,YA,TIDAK,YA,YA,TIDAK,Lengkap,
33,OYO 92083 Lailik Gilang Guesthouse,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552",Pasir Putih Watukarung,+6221297076010,"Rp204.000,00","Rp204.000,00",,17/07/2026,,"Wifi gratis,Parkir gratis, Kamar bebas rokok,TV,outdoor,CCTV, multibahasa",14:00,12:00,-,Ya,"https://www.google.com/maps/place/OYO+92083+Lailik+Gilang+Guesthouse/@-8.2358155,110.9727084,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bdd00b07594ab:0xbdcf7176738aa30!5m2!4m1!1i2!8m2!3d-8.2358155!4d110.9727084!16s%2Fg%2F11tp2f2k8r?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNi4wIKXMDSoASAFQAw%3D%3D",https://www.oyorooms.com/ID/200337/,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFx2jDZp81QKEkJLyvjFpqr4yymiHM29L9OXfuZjXQ0WVngGd325f3Y8xjz0PeEJuHFP3Jbwc44ZFHjhays36dkkRLiCz2_gjnT6COvap6bJ_c975aWkx_yZsp6wLxZmaAMRqxNE1cH3Eg2eL3rZ-Vj4Gs3HImsfOdPyd3sCgJe0v1zjm_dhvV7=w408-h272-k-no,TRUE,TRUE,,TIDAK,YA,TIDAK,TIDAK,YA,TIDAK,TIDAK,TIDAK,Lengkap,
