 '2,,,,,,,,,,,,,,Sumber,,,,
No,Nama Usaha,Kategori,Menu/Produk Andalan,Kisaran Harga (Rp),Jam Operasional,Terdaftar di Pokdarwis,No. WA/Telepon,Pantai Terdekat,Alamat,Gmaps Tersedia,Link Google Maps,"Media Sosial
(opsional)",Link Foto,Google Maps,Media Sosial,Survei Langsung,Status Kelengkapan,Catatan
11,Warung Reot  Kasap,Restoran,"Aneka Mie, Snack ",15rb-130rb,weekend,Belum Dicek,-,Kasap,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,https://www.google.com/maps/place/Warung+Reot++Kasap/data=!4m7!3m6!1s0x2e7bdd005dc16c5f:0xd50891fa57066333!8m2!3d-8.239139!4d110.9828753!16s%2Fg%2F11zc3zvxks!19sChIJX2zBXQDdey4RM2MGV_qRCNU?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBULoCm8fgzDUDFVlw_H-_xcEMsBI6jnHnop_qcA6zXt_2okDy0SAFXyPfOZ9QNDGLl8Tqo7h_Nm5N3yWZCBZnPeGgIP6ekIVipFpHm0s1HYbrllGGgijRzjMoFRz65Rokh7ySZvZtaQYP=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,alamt dimaps salah
12,Frizka Drink And Seafood,Oleh-oleh,Aneka olahan seafood krispi,5rb-25rb,07.00-17.00,Belum Dicek,wa.me/62821430575450,Kasap,"Alamat:  kasab, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur",Ya,"https://www.google.com/maps/place/FRIZKA+DRINK+AND+SEAFOOD.+PUSAT+OLEH+OLEH++KASAP/@-8.2402434,110.9829,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd210c1104a7:0x7457770e58ebe404!8m2!3d-8.2402434!4d110.9829!16s%2Fg%2F11rj5kqntt?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE05q5cG2qUxCtN6T21MqOu2ua1C-8Obp02X71uMjgN9XWXK2kLR2qb8K86_7G7Z00sCd9EhJ8xDB1V1pTgDAsDZQseKh_fGfWDv1ltHKU02Brivm1Ca8HHAvBSMPqNYv6cTKUE=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
13,Warung makan seafood mbak dilla,Warung Makan,Aneka Olahan Seafood,25rb-50rb/ Orang,07:00 - 17:00 (Weekday)             06:00 - 21:00 (Weekend),Belum Dicek,wa.me/62822452439680,Kasap,"Alamat:  kasap, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63511, Indonesia",,https://www.google.com/maps/place/Warung+makan+seafood+mbak+dilla/data=!4m7!3m6!1s0x2e7bdd0073fa1b31:0x3acbd476969374c5!8m2!3d-8.2402434!4d110.9829!16s%2Fg%2F11vk4tz00z!19sChIJMRv6cwDdey4RxXSTlnbUyzo?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9JsfAhsHt235V4bPV_lJlbILfyjJYnYKL1gdi3emrjgGjQVjehdzMLBuKV51umDjLCZhS_PUVG0Igy_eAeeaJMAn-jNQo5DTYn5dme-GZi8TD5sUL_PZtyjBuBmaZAQH5UXI5wOzPbkk=w408-h725-k-no,Ya,Tidak,Tidak,Belum Lengkap,
14,Mbah Darmo Resto,Restoran,"Nasi Ikan & Ayam Goreng, Nasi Pecel,Soto Pacitan, Aneka Minuman",10rb-25rb,6:30 - 18.00 (weekend),Belum Dicek,wa.me/6285232859801,Kasap,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,"https://www.google.com/maps/place/Mbah+Darmo+Resto+and+Homestay/@-8.2392953,110.9827244,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdda874705523:0x94102e9b62361443!8m2!3d-8.2392953!4d110.9827244!16s%2Fg%2F11llkkm6h2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzGAfJJdSVAafoNKj5LPlJNjGOiwlsod2MgcU1q7eb3xdJ7E4e62sIfeVTLSntagwxJ20C8fYoZryl4zsuGXF62tkn6jfdcoI6icz8YamCpW9V9YAIydHgsmjR99mIHiRHOWt6eHAr6fBU=w408-h306-k-no,Ya,Tidak,Ya,Belum Lengkap,alamt dimaps salah
15,Warung Lesehan Rindu Alang Alang,Warung Makan,"Sego Tiwul, Nasi Rames, Ikan Bakar, Soto ",8rb-17rb,07:00-17:00,Belum Dicek,wa.me/6282312548801,Kasap,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,https://www.google.com/maps/place/Warung+Lesehan+Rindu+Alang+Alang/data=!4m7!3m6!1s0x2e7bdde990544e83:0x6f234702ff5dda62!8m2!3d-8.239902!4d110.9813866!16s%2Fg%2F11fy_drbwy!19sChIJg05UkOndey4RYtpd_wJHI28?authuser=0&hl=id&rclk=1,-,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGr8nCLTmKqVBxhRUG5LqxQDa4RNTeWcJzOl6Lq-dI4Z7abYc4FTq7sxmZh4dXuvfm4P5koLxnvNtGkWWIPdvoBmmiquDen1yQBGpet1WBgdxTFJKtRCOx7UhwS1wQzPCwq2aROZw=w408-h550-k-no,Ya,Tidak,Ya,Lengkap,
16,Yu Minah Resto (Warung Prasmanan Mbok Minah),Restoran,Aneka Olahan Seafood,25k/ orang,,Belum Dicek,wa.me/62853366431510,Kasap,"Alamat: QX7M+792, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,https://www.google.com/maps/place/Yu+Minah+Resto+%28Warung+Prasmanan+Mbok+Minah%29/data=!4m7!3m6!1s0x2e7bddc289c0f53b:0xce47426978b505ef!8m2!3d-8.2368527!4d110.9833831!16s%2Fg%2F11g88c11pz!19sChIJO_XAicLdey4R7wW1eGlCR84?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmRZ9Wkq0szl7DxX2YL0-IV3zpGNWqAh4cyW2yw5WMKXCHDMVysfvlR34v_UAKgWoWyn5kWCK3zaj2e-zgY26CLfZIdwmCMSNf56AFWS0MluICgrRsuq3d_6QI9FpER27mp96a=w408-h491-k-no,Ya,Tidak,Tidak,Belum Lengkap,
17,Pentol kuah legends,Warung Makan,-,,06.00 - 17.00 (weekend),Belum Dicek,,Kasap,"Alamat:  kasap, Indonesia",Ya,https://www.google.com/maps/place/Pentol+kuah+legends/data=!4m7!3m6!1s0x2e7bdd0077e79181:0xf66c723897a7c072!8m2!3d-8.2399481!4d110.9817889!16s%2Fg%2F11xw2j1h3_!19sChIJgZHndwDdey4RcsCnlzhybPY?authuser=0&hl=id&rclk=1 ,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFy_XBITjZKZek0mwmKAIzXZOP1_q5sdsgHJLvHhgAC6BKc_tOXsw4RgN0WZQmQr0cpDreBCWFHtZUWfdBMo_L9g-f9B55kZShGsatJAZxTxqJsj4zv9qoo4NuX8YF8Xp6i-WKyb2ffUeLa=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
18,Lintang Arum Cafe,Cafe,"snacks, nasi, minuman",8rb - 30rb,06:00 - 16:00,Belum Dicek,wa.me/62821433409490,Kasap,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,https://www.google.com/maps/place/Lintang+Arum+Cafe/data=!4m7!3m6!1s0x2e7bdd004c2fb485:0x5c84784f93dd9bd2!8m2!3d-8.2399767!4d110.9809215!16s%2Fg%2F11vk7mbtg_!19sChIJhbQvTADdey4R0pvdk094hFw?authuser=0&hl=id&rclk=1,https://www.instagram.com/lintangarum.caffe,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4UAWp7S-2rf2IyILX9Rx-6nlURseZs85e6fCd1a-3xzpxGkUrnjIq65dqJibTO3UplcnavfjQTb2GpzUjlfe26MPcT5EI3pe7OxvGIgqcTdOK7binKsT11jx1rLmEs-KMzUnZ1_EucJ66=w532-h240-k-no,Ya,Ya,Ya,Lengkap,
19,Warung Dik Zain,Warung Makan,"Seafood, Minuman",10rb-30rb,05:00 - 16:00,Belum Dicek,wa.me/6285234723542,Kasap,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,https://www.google.com/maps/place/Warung+Dik+Zain/data=!4m7!3m6!1s0x2e7bdd0071bbf48f:0x3e8507289b0b434f!8m2!3d-8.2399027!4d110.9828457!16s%2Fg%2F11xgd5ps8c!19sChIJj_S7cQDdey4RT0MLmygHhT4?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdqF3x0LPB4e1wA_GShaL1SjNn9oA3rTUfAbso_C_V53TxpRVtENZXpBB4Se6-10A58-e4Y_-3fStFeYuyXRfqzXQS1jX6l9SQdMPvU1ExJCuvUXNBZsOVyap6y4FQ-y7M_7oP6w0YFw9o=w408-h544-k-no,Ya,Tidak,Ya,Lengkap,
20,warung mak iyek kasap,Warung Makan,-,-,weekend,Belum Dicek,,Kasap,"Pantai kasap, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur",Ya,https://maps.app.goo.gl/7ivFY73cKsbHPcMs6,,,Ya,Tidak,Ya,Belum Lengkap,
21,Warung Prasmanan Mbok Inah,Restoran,-,-,-,Belum Dicek,-,Kasap,"Alamat: QX7M+792, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,"https://www.google.com/maps/place/Warung+Prasmanan+Mbok+Inah/@-8.2368158,110.9833788,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd002fe9976f:0x963bdf866a9c0a42!8m2!3d-8.2368158!4d110.9833788!16s%2Fg%2F11xllp1f8b?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFn44jfVD8aD_-cLoeQha8fFvozaz1PuoRsM6Iwa9yLxXOCN9PI1QmsKOywfpJBg41_oH2w-G_4BGZXe99fih_jrmOTNYBKFGgiLD0qRt2fP-KheWi2BPaXubYAvXrUA8OLPmbFjopfZWA=w408-h725-k-no,Ya,Tidak,Tidak,Belum Lengkap,
22,Toko & Toilet Umum Mbah Jumiyem,UMKM Lainnya,"Aneka Minuman, Kelapa Muda",1rb-18rb,5:00 - 17:00,,-,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Tidak,,
23,"Omah Jajan ""Cipto Roso""",Oleh-oleh,"Tahu Tuna, Otak-otak Tuna, Aneka Camilan",-,06.00-18.00,,wa.me/6282246598054,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,,,,Tidak,Tidak,Tidak,,
24,Warung Bu Win,Warung Makan,"Nasi Ikan Bakar, Aneka Seafood",,07.00 - 17.00 (Weekend),,,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
25,Warung Bude Miah,UMKM Rumahan,"Aneka Cemilan, Minuman, Kelapa Muda, dan aneka makanan,  junk food",4rb-20rb,07.00 - 17.00 (Weekend),,,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
26,Warung Budeh Karmi,UMKM Rumahan,"Aneka Cemilan, Minuman, Kelapa Muda, dan aneka makanan,  junk food",4rb-20rb,07.00 - 17.00 (Weekend),,,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
27,Warung Ijo Mamak Party,Warung Makan,,,07.00 - 17.30,,,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
28,Warrung Makan Amaliaaa,Warung Makan,"Nasi Ikan Bakar, Aneka Seafood",5rb - 20rb,07.00 - 17.00 (Weekend),,wa.me/6282140375074,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Ya,,
29,Warung Makan Mba Intan,Warung Makan,Nasi Ikan,5rb - 35rb,07.00 - 17.00 (Weekend),,wa.me/6288276425564,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,
30,Warung Seafood Mba Dilla,Warung Makan,Seafood,10rb - 30rb,07.00 - 17.00 (Weekend),,wa.me/6282245243968,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,,,,Tidak,Tidak,Tidak,Belum Lengkap,
31,Mie Ayam Pangsit & Bakso Hidayah Wonogiri,Warung Makan,Mie Ayam dan Bakso,5rb - 15rb,08.00 - 17.00 (Weekend),,-,Kasap,"Pantai Kasap, Tekil, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Tidak,,,,Ya,Tidak,Ya,Lengkap,
32,Resto Seafood Mbak Rita,Restoran,Seafood Bakar,25rb-50rb/ orang,07.00-21.00,Belum Dicek,wa.me/62852598010130,Pasir Putih Watukarung,"Jalan RT.01/RW.7, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Resto+Seafood+Mbak+Rita/@-8.2357558,110.9724163,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddc2eb7674c1:0x255f1acc2c28effa!8m2!3d-8.2357558!4d110.9724163!16s%2Fg%2F11j19r1cqd?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNi4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIptKJlXnByZu-FGLCnf2BmswzsZFnHuuho9hPgRV8M5RCrTYcdQlBGE8v7aaB-dv0DJR2HrhPPR9DAzDbH5qsCC_QLbYxfyAA1uxBUYOJ6OtlOgTxKyxXlLKDJ2XsjPkUuD8laSfi6zY=w408-h544-k-no,Ya,Tidak,Tidak,Lengkap,
33,Warung Makan Mbak Pia,Warung Makan,Aneka Olahan Seafood,12rb - 40rb,07.00 - 18.00,Belum Dicek,wa.me/6282234455156,Pasir Putih Watukarung,"Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Makan+Mbak+Pia/data=!4m7!3m6!1s0x2e7bdd007a112ff7:0x2f04febd03ccbe8d!8m2!3d-8.2367224!4d110.972953!16s%2Fg%2F11mdvx98xf!19sChIJ9y8RegDdey4Rjb7MA73-BC8?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkjTyfjvI51FvYQfJg2P1vMj6bKBKfj81lFktvlr72otbVCXtdXzzxV3LsjtEqeeIBgWvmBkxDmJrGkJI3ULAYXgWDfog1qdiA2_BSW3iHucxInJlG0-qBO9nZmKV5Z3Z1VVQDWmqNbCYDk=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
34,Warung Makan Bu Prapti  Watukarung,Restoran,"Lobster, Ikan bakar",3rb - 35rb,07.00 - 20.00,Belum Dicek,wa.me/6282332000259,Pasir Putih Watukarung,"Ketro, RT.01/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Warung+Makan+Bu+Prapti++Watukarung/@-8.2366937,110.9728954,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbfbd3bc7bb:0xf88171d2ed0091be!8m2!3d-8.2366937!4d110.9728954!16s%2Fg%2F11ggz5dpf9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNi4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpyaB6KhWSSEq53J71FLNN5MGNLPhlEn5tW1ASob4i8m7NAQz-T4Dt6znIlJoQ0WEStdlbo_TSqBBpremcimvkki8XdC-etPOzMO6iNCCLMOpdy0ztwj0WurvQU1B8QMIgK94l=w408-h306-k-no,Ya,Tidak,Ya,Belum Lengkap,lengkapi foto maps 
35,Rumah Papa Rari,Warung Makan,-,,,Belum Dicek,wa.me/62822439386510,Pasir Putih Watukarung,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Rumah+Papa+Rari/@-8.2367036,110.9732694,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd6d303db423:0xfd6f5ce10cd456a6!8m2!3d-8.2367036!4d110.9732694!16s%2Fg%2F11sjlh7hbn?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNi4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGk7izdMt4jCEgO0G6yMwqUkMdmnJ9q6hR4Gl8GJiFH0xYnQG4CmAuX3G-xfexYXF-FkgcNJ-Jded9ibOzwWVmUOCp34os1NtCef7jpygPgDec8gXYxaUSo2aRkOP-7oKg1lQoq=w408-h725-k-no,Ya,Ya,Ya,Belum Lengkap,
36,Warung makan mbak asih,Warung Makan,-,,,Belum Dicek,wa.me/62821395551750,Pasir Putih Watukarung,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+makan+mbak+asih/data=!4m7!3m6!1s0x2e7bdda045ac1d31:0xe9f47bb7886d3c86!8m2!3d-8.2378351!4d110.9737433!16s%2Fg%2F11p9w_c4zt!19sChIJMR2sRaDdey4RhjxtiLd79Ok?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7ORnO6CX36w2OPXTVnfXQW3itt7joBSKPemL74-eL9zpnc7-PUgOQho3YusHniy4ULVPKnnR6MLNQP1L6tTA5Mk_jXz0i5lxmWMg1n8F_RdxiVM9ia-C8tMuwAPnDlMpUL6rl447zMneT=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
37,Rumah makan Bu munirah / Mama mumun,Warung Makan,"Ikan bakar, udang goreng, cumi goreng, kelapa muda",10rb-100rb,07.00 - 17.00 weekend,Belum Dicek,wa.me/62852338970400,Pasir Putih Watukarung,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Rumah+makan+Bu+munirah+%2F+Mama+mumun/data=!4m7!3m6!1s0x2e7bdd4294204459:0x9b8a7ccfccf915aa!8m2!3d-8.2385163!4d110.9738938!16s%2Fg%2F11vkd8ftyn!19sChIJWUQglELdey4RqhX5zM98ips?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF07PTLFLo0uAgMtA6iVCILL8fFM5h8v5RiRJrcNvdonvGR4LSDM-be1rIQN0a5Gs58j0c1_KlmiwDLppj9ekK55NcGRxQFP001iO2AMpLoEkTvjNuMtH0z7L6IRg1JoLBBWuP-=w408-h272-k-no,Ya,Tidak,Ya,Belum Lengkap,
38,Kedai Artomoro (Pak Roni Watukarung Pinggir),Restoran,"lobster, kepiting",,,Belum Dicek,wa.me/6282142781006,Pasir Putih Watukarung,"Ketro, Watukarung, Pringkuku, Pacitan Regency, East Java 63552, Indonesia",Ya,"https://www.google.com/maps/place/KEDAI+ARTOMORO+(PAK+RONI+WATUKARUNG+PINGGIR+)/@-8.238089,110.9739828,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd33868c4b71:0xb2cd3926bc9fa2ba!8m2!3d-8.238089!4d110.9739828!16s%2Fg%2F11hdx7jt08?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNi4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaguLkhcHdNjFHw3ulEeO6vz2kE1gnYPb9RS_OWllSohSuS2TAm53WmFy5RL_En_p14M17srZ92u9VVNk5_sJvfDWpr-8_rez8Ylb1ahSDkmt_A2d4g6uf9sqDJ13nFiNYKzSI=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,lengkapin foto maps
