,,,,,,,,,,,Sumber,,,,,
10,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
11,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
12,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
13,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
14,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
15,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
16,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
17,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
18,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
19,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
20,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
21,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
22,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
23,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
24,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
25,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
26,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
27,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
28,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
29,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
30,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
31,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
32,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
33,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
34,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
35,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
36,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
37,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
38,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
39,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
40,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
41,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
42,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
43,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
44,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
45,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
46,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
47,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
48,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
49,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
50,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
